zip_code,centile,superzip,place,province_or_county,community,latitude,longitude,all_cancer_sites,tongue,mouth,breast,lungs,stomach,bladder,sex
600120,99.51097,1,Vallur,Tiruvallur,Ambattur,13.256,80.2818,731,131,186,12,188,184,30,M
600123,99.49184,1,Sembarambakkam,Tiruvallur,Poonamallee,13.2431,79.94,731,131,186,12,188,184,30,M
600124,99.46548,1,Kuttambakkam,Tiruvallur,Poonamallee,13.2431,79.94,731,131,186,12,188,184,30,M
600128,99.43073,1,Kovur,Tiruvallur,Poonamallee,13.2431,79.94,731,131,186,12,188,184,30,M
601101,99.42176,1,Arni CPT,Tiruvallur,Ponneri,13.3364,80.0846,731,131,186,12,188,184,30,M
601102,99.3998,1,Majankaranai,Tiruvallur,Uttukottai,13.1879,79.7968,974,41,85,647,78,107,16,F
601103,99.37475,1,Meyyur,Tiruvallur,Tiruvallur,13.2425,79.944,974,41,85,647,78,107,16,F
601201,99.33241,1,Tervali,Tiruvallur,Gummidipundii,13.4274,80.1388,731,131,186,12,188,184,30,M
601202,99.24898,1,Pallavada,Tiruvallur,Gummidipundi,13.4759,80.0222,731,131,186,12,188,184,30,M
601203,99.20985,1,Nallur,Tiruvallur,Ponneri,13.2431,79.94,731,131,186,12,188,184,30,M
601204,99.16124,1,Medur,Tiruvallur,Ponneri,13.3842,80.2183,731,131,186,12,188,184,30,M
601205,99.12652,1,Kolur,Tiruvallur,Ponneri,13.4304,80.2252,731,131,186,12,188,184,30,M
601206,99.09166,1,Puvalambedu,Tiruvallur,Ponneri,13.4077,80.0404,731,131,186,12,188,184,30,M
602001,99.07595,1,Tiruvallur Nethaji Road,Tiruvallur,Thiruvallur,13.0553,79.906,731,131,186,12,188,184,30,M
602002,99.06966,1,Nungambakkam,Tiruvallur,Tiruvallur,13.0667,79.8946,731,131,186,12,188,184,30,M
602003,99.02061,1,Kakalur Ind Estate,Tiruvallur,Tiruvallur,13.0553,79.906,731,131,186,12,188,184,30,M
602021,99.01231,1,Monnavedu,Tiruvallur,Tiruvallur,13.2144,79.9414,731,131,186,12,188,184,30,M
602023,98.97039,1,Neiveli,Tiruvallur,Tiruvallur,13.2431,79.94,731,131,186,12,188,184,30,M
602024,98.9043,1,Kottamedu,Tiruvallur,Tiruvallur,13.2431,79.94,731,131,186,12,188,184,30,M
602025,98.84264,1,Putlur,Tiruvallur,Tiruvallur,13.1128,79.9404,974,41,85,647,78,107,16,F
602026,98.82337,1,Perandur,Tiruvallur,Uttukottai,13.3172,79.9428,974,41,85,647,78,107,16,F
602105,98.78012,1,Ulundai,Tiruvallur,Thiruvallur,13.0084,79.8978,974,41,85,647,78,107,16,F
631201,98.76967,1,Arungolam,Tiruvallur,Tirutani,12.9783,79.6172,974,41,85,647,78,107,16,F
631202,98.76401,1,Kodivalasa,Tiruvallur,Tirutani,13.2547,79.4249,974,41,85,647,78,107,16,F
631203,98.72816,1,Pandur,Tiruvallur,Tiruvallur,13.1556,79.8488,974,41,85,647,78,107,16,F
631204,98.68438,1,Illuppur,Tiruvallur,Tiruttani,13.2431,79.94,731,131,186,12,188,184,30,M
631205,98.62663,1,Mambakkam,Tiruvallur,Tiruttani,13.1433,79.5516,731,131,186,12,188,184,30,M
631206,98.57519,1,Ramasamudram,Tiruvallur,Tiruttani,13.2279,79.5156,731,131,186,12,188,184,30,M
631207,98.54367,1,Pallipat,Tiruvallur,Pallipattu,13.3386,79.4449,731,131,186,12,188,184,30,M
631208,98.49564,1,Kakalur,Tiruvallur,Pallipat,13.267,79.4857,731,131,186,12,188,184,30,M
631209,98.43779,1,Pattabiramapuram,Tiruvallur,Tiruttani,13.1834,79.6329,731,131,186,12,188,184,30,M
631210,98.36923,1,Tiruvelangadu,Tiruvallur,Tirutani,13.1304,79.7772,731,131,186,12,188,184,30,M
631211,98.29675,1,Karthikeyapuram,Tiruvallur,Tirutani,13.0989,79.7233,974,41,85,647,78,107,16,F
631212,98.27714,1,Thalavedu,Tiruvallur,Tirutani,13.0989,79.7233,974,41,85,647,78,107,16,F
631213,98.26258,1,Ponpadi,Tiruvallur,Tirutani,13.2303,79.5986,974,41,85,647,78,107,16,F
631301,98.25553,1,Kadananagaram,Tiruvallur,Tirutani,13.1456,79.3701,731,131,186,12,188,184,30,M
631302,98.22585,1,Rangapuram,Tiruvallur,Pallipat,13.1448,79.3977,731,131,186,12,188,184,30,M
631303,98.18027,1,Ammaneri,Tiruvallur,Pallipattu,13.1426,79.4577,731,131,186,12,188,184,30,M
631304,98.15637,1,Vanganur,Tiruvallur,Tirutani,13.1829,79.4553,974,41,85,647,78,107,16,F
631402,98.12177,1,Perambakkam,Tiruvallur,Sriperumbudur,13.1449,79.8975,974,41,85,647,78,107,16,F
600001,98.10563,1,Chennai G.P.O.,Chennai,Chennai,13.0914,80.2828,1116,218,262,15,294,248,79,M
600002,98.06577,1,Chintadripet,Chennai,Chennai,13.0744,80.2714,1689,53,101,1259,132,132,12,F
600003,98.05009,1,Park Town H.O,Chennai,Tondiarpet Fort St George,13.0754,80.2737,1689,53,101,1259,132,132,12,F
600004,98.02567,1,Vivekananda College Madras,Chennai,Chennai,13.0754,80.2737,1689,53,101,1259,132,132,12,F
600005,97.99634,1,Chepauk,Chennai,Chennai,13.0594,80.2789,1689,53,101,1259,132,132,12,F
600006,97.97018,1,Shastri Bhavan,Chennai,Chennai,13.0754,80.2737,1689,53,101,1259,132,132,12,F
600007,97.94895,1,Vepery,Chennai,Perambur Purasawalkam,13.0847,80.2675,1116,218,262,15,294,248,79,M
600008,97.94725,1,Egmore,Chennai,Perambur Purasawalkam,13.0717,80.2556,1116,218,262,15,294,248,79,M
600009,97.93916,1,Fort St George,Chennai,Tondiarpet Fort St George,13.0754,80.2737,1116,218,262,15,294,248,79,M
600010,97.93479,1,Kilpauk,Chennai,Perambur Purasawalkam,13.08,80.2408,1116,218,262,15,294,248,79,M
600011,97.90517,1,Perambur,Chennai,Perambur Purasawalkam,13.1103,80.2425,1116,218,262,15,294,248,79,M
600012,97.87393,1,Venkatesapuram,Chennai,Perambur Purasawalkam,13.0647,80.2523,1116,218,262,15,294,248,79,M
600013,97.85892,1,Rayapuram,Chennai,Egmore Nungambakkam,13.1141,80.2947,1116,218,262,15,294,248,79,M
600014,97.85648,1,Royapettah,Chennai,Chennai,13.0506,80.2642,1116,218,262,15,294,248,79,M
600015,97.8499,1,Guindy North,Chennai,Chennai City Corporation,13.1096,80.2146,1116,218,262,15,294,248,79,M
600017,97.83234,1,Thygarayanagar H.O,Chennai,Chennai,13.1096,80.2146,1689,53,101,1259,132,132,12,F
600018,97.80305,1,Teynampet,Chennai,Chennai,13.0433,80.2528,1689,53,101,1259,132,132,12,F
600020,97.79362,1,Shastri Nagar (Chennai),Chennai,Chennai City Corporation,12.9967,80.2603,1689,53,101,1259,132,132,12,F
600021,97.77891,1,Washermanpet East,Chennai,Tondiarpet Fort St George,13.121,80.285,1689,53,101,1259,132,132,12,F
600022,97.77534,1,Rajbhavan (Chennai),Chennai,Chennai City Corporation,13.0484,80.2473,1689,53,101,1259,132,132,12,F
600023,97.77225,1,Aynavaram,Chennai,Perambur Purasawalkam,13.0484,80.2473,1689,53,101,1259,132,132,12,F
600024,97.76474,1,Kodambakkam,Chennai,Chennai City Corporation,13.0481,80.2214,1689,53,101,1259,132,132,12,F
600025,97.75809,1,Engineering College (Chennai),Chennai,Chennai City Corporation,13.0484,80.2473,1689,53,101,1259,132,132,12,F
600026,97.75486,1,Vadapalani,Chennai,Chennai City Corporation,13.0511,80.2125,1689,53,101,1259,132,132,12,F
600028,97.75311,1,Raja Annamalaipuram,Chennai,Chennai City Corporation,13.025,80.2575,1689,53,101,1259,132,132,12,F
600030,97.74733,1,Aminjikarai,Chennai,Egmore Nungambakkam,13.0739,80.2244,1689,53,101,1259,132,132,12,F
600031,97.72675,1,Chetput,Chennai,Egmore Nungambakkam,13.07,80.2408,1689,53,101,1259,132,132,12,F
600032,97.70628,1,Ekkaduthangal,Chennai,Chennai City Corporation,13.0659,80.2365,1689,53,101,1259,132,132,12,F
600033,97.67737,1,West Mambalam,Chennai,Chennai City Corporation,13.0389,80.2258,1689,53,101,1259,132,132,12,F
600034,97.66196,1,Nungambakkam,Chennai,Chennai,13.0606,80.2344,1689,53,101,1259,132,132,12,F
600035,97.6468,1,Nandanam,Chennai,Chennai City Corporation,13.0269,80.2406,1689,53,101,1259,132,132,12,F
600036,97.63093,1,Indian Institute Of Technology,Chennai,Chennai City Corporation,13.0659,80.2365,1689,53,101,1259,132,132,12,F
600038,97.61799,1,Icf Colony,Chennai,Perambur Purasawalkam,13.0659,80.2365,1689,53,101,1259,132,132,12,F
600039,97.61029,1,Vyasar Nagar Colony,Chennai,Tondiarpet Fort St George,13.1111,80.2647,1689,53,101,1259,132,132,12,F
600040,97.60732,1,Anna Nagar (Chennai),Chennai,Egmore Nungambakkam,12.8819,80.0885,1689,53,101,1259,132,132,12,F
600041,97.60101,1,Valmiki Nagar,Chennai,Mylapore - Triplicane,12.9695,80.2588,1689,53,101,1259,132,132,12,F
600042,97.58823,1,Velacheri,Chennai,Chennai City Corporation,13.0647,80.2523,1689,53,101,1259,132,132,12,F
600078,97.57816,1,Kalaignar Karunanidhi Nagar,Chennai,Chennai City Corporation,12.9591,80.1436,1689,53,101,1259,132,132,12,F
600081,97.57635,1,Tondiarpet,Chennai,Tondiarpet Fort St George,13.1274,80.2886,1689,53,101,1259,132,132,12,F
600082,97.55869,1,Periyar Nagar,Chennai,Perambur,13.0572,80.2297,1689,53,101,1259,132,132,12,F
600083,97.54076,1,Jafferkhanpet,Chennai,Chennai City Corporation,13.0582,80.24,1116,218,262,15,294,248,79,M
600084,97.5323,1,Flowers Road,Chennai,Perambur Purasawalkam,13.0582,80.24,1116,218,262,15,294,248,79,M
600085,97.52722,1,Kotturpuram,Chennai,Chennai City Corporation,13.0156,80.2467,1116,218,262,15,294,248,79,M
600086,97.52275,1,Gopalapuram (Chennai),Chennai,Chennai,13.0472,80.2578,1116,218,262,15,294,248,79,M
600090,97.51649,1,Rajaji Bhavan,Chennai,Chennai City Corporation,12.8503,80.0707,1116,218,262,15,294,248,79,M
600092,97.51073,1,Virugambakkam,Chennai,Chennai City Corporation,13.0647,80.2523,1116,218,262,15,294,248,79,M
600093,97.51044,1,Saligramam,Chennai,Chennai City Corporation,13.0647,80.2523,1116,218,262,15,294,248,79,M
600094,97.50373,1,Choolaimedu,Chennai,Chennai,12.8503,80.0707,1116,218,262,15,294,248,79,M
600101,97.48298,1,Anna Nagar Western Extn,Chennai,Ambattur,13.0974,80.195,1116,218,262,15,294,248,79,M
600102,97.47905,1,Anna Nagar East,Chennai,Perambur Purasawalkam,13.0974,80.195,1116,218,262,15,294,248,79,M
600104,97.47399,1,High Court Building (Chennai),Chennai,Tondiarpet Fort St George,13.0974,80.195,1116,218,262,15,294,248,79,M
600106,97.46423,1,D G Vaishnav College,Chennai,Egmore Nungambakkam,13.0734,80.2069,1116,218,262,15,294,248,79,M
600113,97.4352,1,Tidel Park,Chennai,Mambalam,12.9293,80.034,1116,218,262,15,294,248,79,M
600118,97.41496,1,Erukkancheri,Chennai,Chennai,13.0647,80.2523,1116,218,262,15,294,248,79,M
600016,97.38705,1,Meenambakkam,Kanchipuram,Sriperumbudur,12.9846,80.1747,811,159,158,12,197,250,35,M
600043,97.35107,1,Pallavaram,Kanchipuram,Saidapet,12.968,80.1502,811,159,158,12,197,250,35,M
600044,97.34417,1,Chromepet,Kanchipuram,Saidapet,12.9477,80.1354,811,159,158,12,197,250,35,M
600045,97.27743,1,Tambaram H.O,Kanchipuram,Tambaram,12.8819,80.0885,1074,44,76,773,70,95,16,F
600046,97.24577,1,Tambaram IAF,Kanchipuram,Tambaram,12.8819,80.0885,1074,44,76,773,70,95,16,F
600047,97.24281,1,Tambaram Sanatorium,Kanchipuram,Tambaram,12.8819,80.0885,1074,44,76,773,70,95,16,F
600048,97.23677,1,Mannivakkam,Kanchipuram,Chinglepet,12.8884,80.0641,1074,44,76,773,70,95,16,F
600059,97.21183,1,LIC Colony Tambaram,Kanchipuram,Tambaram,13.0252,79.8562,811,159,158,12,197,250,35,M
600061,97.18571,1,Nanganallur,Kanchipuram,Saidapet,12.9805,80.1881,811,159,158,12,197,250,35,M
600063,97.17994,1,Srinivasanagar East,Kanchipuram,Tambaram,13.0063,79.8869,811,159,158,12,197,250,35,M
600064,97.16557,1,Chitlapakkam,Kanchipuram,Tambaram,13.0063,79.8869,811,159,158,12,197,250,35,M
600069,97.15959,1,Nandambakkam,Kanchipuram,Sriperumbudur,12.978,80.0678,811,159,158,12,197,250,35,M
600070,97.12939,1,Anakaputhur,Kanchipuram,Tambaram,12.9828,80.1264,1074,44,76,773,70,95,16,F
600073,97.12659,1,Gowriwakkam,Kanchipuram,Tambaram,12.9194,80.1697,1074,44,76,773,70,95,16,F
600074,97.10166,1,Polichalur,Kanchipuram,Tambaram,12.9591,80.1436,1074,44,76,773,70,95,16,F
600075,97.091,1,Pammal,Kanchipuram,Saidapet,12.975,80.1347,1074,44,76,773,70,95,16,F
600088,97.07925,1,Adambakkam,Kanchipuram,Saidapet,12.9918,80.2035,1074,44,76,773,70,95,16,F
600089,97.07362,1,Nandambakkam Kudiyiruppu,Kanchipuram,Saidapet,13.0582,80.24,1074,44,76,773,70,95,16,F
600091,97.06131,1,Madipakkam,Kanchipuram,Saidapet,12.9623,80.1986,1074,44,76,773,70,95,16,F
600096,97.02859,1,Perungudi,Kanchipuram,Saidapet,12.9609,80.2409,1074,44,76,773,70,95,16,F
600097,97.02518,1,Oggiamthoraipakkam,Kanchipuram,Saidapet,12.8503,80.0707,1074,44,76,773,70,95,16,F
600100,97.01861,1,Pallikaranai,Kanchipuram,Tambaram,12.9377,80.2153,811,159,158,12,197,250,35,M
600115,97.00956,1,Injambakkam,Kanchipuram,Kancheepuram,12.8959,79.693,811,159,158,12,197,250,35,M
600116,96.99272,1,Alapakkam,Kanchipuram,Sriperumbudur,12.6952,79.9479,811,159,158,12,197,250,35,M
600117,96.97418,1,Old Pallavaram,Kanchipuram,Sriperumbudur,12.9293,80.034,811,159,158,12,197,250,35,M
600119,96.95049,1,Sholinganallur,Kanchipuram,Saidapet,12.89,80.2313,811,159,158,12,197,250,35,M
600122,96.94259,1,Paraniputhur,Kanchipuram,Sriperumbudur,12.8808,79.3531,1074,44,76,773,70,95,16,F
600125,96.93944,1,Manapakkam,Kanchipuram,Sriperumbudur,13.0158,80.1761,1074,44,76,773,70,95,16,F
600126,96.92583,1,Mappedu,Kanchipuram,Tambaram,12.6952,79.9479,1074,44,76,773,70,95,16,F
600127,96.91093,1,Kolathur,Kanchipuram,Tiruporur,12.6952,79.9479,1074,44,76,773,70,95,16,F
600129,96.86391,1,Kovilambakkam,Kanchipuram,Sholinganallur,12.8745,79.763,1074,44,76,773,70,95,16,F
600130,96.85913,1,Navalur,Kanchipuram,Tiruporur,12.5938,80.0429,1074,44,76,773,70,95,16,F
600131,96.85291,1,Sithalapakkam,Kanchipuram,TAMBARAM,12.5938,80.0429,1074,44,76,773,70,95,16,F
600132,96.84825,1,Tiruneermalai,Kanchipuram,Tambaram,12.5938,80.0429,1074,44,76,773,70,95,16,F
601301,96.83543,1,Malaipattu,Kanchipuram,Sriperumbudur,12.9248,80.0083,811,159,158,12,197,250,35,M
602106,96.7431,1,Sendamangalam,Kanchipuram,Sriperumbudur,12.9067,79.8342,1074,44,76,773,70,95,16,F
602108,96.73563,1,Tirupandiyur,Kanchipuram,Sriperumbudur,12.9654,79.8289,1074,44,76,773,70,95,16,F
602117,96.69373,1,Irungattukottai,Kanchipuram,Sriperumbudur,12.995,79.9905,1074,44,76,773,70,95,16,F
603001,96.68414,1,Chengalpattu Med.College,Kanchipuram,Chengalpattu,12.6363,79.9843,1074,44,76,773,70,95,16,F
603002,96.67178,1,Kunnavakkam,Kanchipuram,Chengalpattu,12.5386,79.8655,1074,44,76,773,70,95,16,F
603003,96.64422,1,Vallam,Kanchipuram,Chengalpattu,12.6808,79.9965,811,159,158,12,197,250,35,M
603004,96.61433,1,Mahindra World City (Kanchipuram),Kanchipuram,Chengalpattu,12.6363,79.9843,811,159,158,12,197,250,35,M
603101,96.6017,1,Villiambakkam,Kanchipuram,Chengalpattu,12.767,79.9148,811,159,158,12,197,250,35,M
603102,96.56586,1,Kalpakkam,Kanchipuram,Tirukalikundram,12.5638,80.1736,1074,44,76,773,70,95,16,F
603103,96.50886,1,Pudupakkam,Kanchipuram,Chinglepet,12.9194,79.6717,1074,44,76,773,70,95,16,F
603104,96.48884,1,Perur,Kanchipuram,Chengalpattu,12.6952,79.9479,1074,44,76,773,70,95,16,F
603105,96.4174,1,Mullipakkam,Kanchipuram,Tirukalilkundram,12.681,80.0844,811,159,158,12,197,250,35,M
603106,96.38142,1,Orakattupettai,Kanchipuram,Chengalpattu,12.5256,79.9764,811,159,158,12,197,250,35,M
603107,96.33112,1,Olaiyur,Kanchipuram,Uthiramerur,12.6359,79.8568,1074,44,76,773,70,95,16,F
603108,96.26634,1,Melaiyur,Kanchipuram,Chengalpattu,12.6952,79.9479,811,159,158,12,197,250,35,M
603109,96.21152,1,Pandur,Kanchipuram,Tirukalikundram,12.536,80.0355,811,159,158,12,197,250,35,M
603110,96.13024,1,Tiruporur,Kanchipuram,Chengalpattu,12.7259,80.1895,1074,44,76,773,70,95,16,F
603111,96.10014,1,Tirumani,Kanchipuram,Chengalpattu,12.6531,79.9862,1074,44,76,773,70,95,16,F
603112,96.05976,1,Kovalam (Kanchipuram),Kanchipuram,Chinglepet,12.7865,80.2506,1074,44,76,773,70,95,16,F
603127,96.04613,1,Anupuram,Kanchipuram,Tirukalikundram,12.5436,79.9929,1074,44,76,773,70,95,16,F
603201,96.04049,1,Ramapuram,Kanchipuram,Madurantakam,12.4682,79.7631,1074,44,76,773,70,95,16,F
603202,96.01379,1,Karanaipuduchery,Kanchipuram,Chengalpattu,12.8525,80.0467,1074,44,76,773,70,95,16,F
603203,95.99261,1,Kavanur,Kanchipuram,Chengalpattu,12.2796,79.9098,1074,44,76,773,70,95,16,F
603204,95.95751,1,Appur,Kanchipuram,Chengalpattu,12.8025,79.9749,1074,44,76,773,70,95,16,F
603209,95.89942,1,Maraimalai Nagar,Kanchipuram,Chengalpattu,12.6009,79.8214,1074,44,76,773,70,95,16,F
603210,95.89073,1,Urapakkam,Kanchipuram,Chengalpattu,12.6009,79.8214,1074,44,76,773,70,95,16,F
603211,95.88411,1,Annai Anjugam Nagar,Kanchipuram,Cheyur,12.6009,79.8214,1074,44,76,773,70,95,16,F
603301,95.88065,1,Indalur,Kanchipuram,Cheyyur,12.3641,79.8362,1074,44,76,773,70,95,16,F
603302,95.8242,1,Cheyur (Kanchipuram),Kanchipuram,Cheyur,12.3495,80.003,1074,44,76,773,70,95,16,F
603303,95.76035,1,Kinar,Kanchipuram,Chengalpattu,12.5258,79.9326,811,159,158,12,197,250,35,M
603304,95.71175,1,Kolathur,Kanchipuram,Cheyur,12.6952,79.9479,811,159,158,12,197,250,35,M
603305,95.6699,1,Nedumaram,Kanchipuram,Madurantakam,12.6952,79.9479,1074,44,76,773,70,95,16,F
603306,95.62505,1,Madurantakam,Kanchipuram,Madurantakam,12.5117,79.8849,1074,44,76,773,70,95,16,F
603307,95.55355,1,Sirudamur,Kanchipuram,Madurantakam,12.7122,79.8556,1074,44,76,773,70,95,16,F
603308,95.53028,1,Padalam,Kanchipuram,Maduranthakam,12.5926,79.9497,1074,44,76,773,70,95,16,F
603309,95.46973,1,Chitravadi,Kanchipuram,Cheyyur,12.4177,79.8842,811,159,158,12,197,250,35,M
603310,95.44777,1,Sirumailur,Kanchipuram,Madurantakam,12.3155,79.8438,811,159,158,12,197,250,35,M
603311,95.4086,1,Zamin Endathur,Kanchipuram,Madurantakam,12.3988,79.8708,1074,44,76,773,70,95,16,F
603312,95.3874,1,Palur,Kanchipuram,Cheyyur,12.767,79.9148,1074,44,76,773,70,95,16,F
603313,95.34032,1,Nugumbal,Kanchipuram,Cheyur,12.3438,79.8904,1074,44,76,773,70,95,16,F
603314,95.32131,1,Pulithivakkam,Kanchipuram,Uttiramerur,12.3988,79.8708,1074,44,76,773,70,95,16,F
603319,95.28699,1,Sendivakkam,Kanchipuram,Chengalpattu,12.4541,79.8031,1074,44,76,773,70,95,16,F
603401,95.26324,1,Chunampet,Kanchipuram,Cheyyur,12.2558,79.9033,811,159,158,12,197,250,35,M
603402,95.21801,1,Hanumanthandalam,Kanchipuram,Uttiramerur,12.5828,79.7172,811,159,158,12,197,250,35,M
603403,95.18996,1,Manampathi,Kanchipuram,Uttiramerur,12.6498,79.6585,1074,44,76,773,70,95,16,F
603405,95.1541,1,Anur,Kanchipuram,Chengalpattu,12.5769,79.9742,1074,44,76,773,70,95,16,F
603406,95.11443,1,Vadanallur,Kanchipuram,Uthiramerur,12.6105,79.7794,1074,44,76,773,70,95,16,F
631501,94.98939,0,Tirukachinambi Street,Kanchipuram,Kancheepuram,12.6207,79.6513,811,159,158,12,197,250,35,M
631502,94.92847,0,Kilakattur,Kanchipuram,Kanchipuram,12.6952,79.9479,811,159,158,12,197,250,35,M
631551,94.83701,0,Damal,Kanchipuram,Kanchipuram,12.886,79.5922,1074,44,76,773,70,95,16,F
631552,94.80292,0,Siruvakkam,Kanchipuram,Kanchipuram,12.915,79.714,1074,44,76,773,70,95,16,F
631553,94.76397,0,Ekanapuram,Kanchipuram,Sriperumbudur,12.9593,79.7779,1074,44,76,773,70,95,16,F
631561,94.69553,0,Nirvalur,Kanchipuram,Kanchipuram,12.9051,79.7911,811,159,158,12,197,250,35,M
631601,94.65438,0,Thenambakkam,Kanchipuram,Kanchipuram,13.0198,79.8756,811,159,158,12,197,250,35,M
631603,94.62572,0,Magaral,Kanchipuram,Kanchipuram,12.7188,79.7558,1074,44,76,773,70,95,16,F
631604,94.55955,0,Sinnivakkam,Kanchipuram,Sriperumbudur,12.8616,79.8275,1074,44,76,773,70,95,16,F
631605,94.5119,0,Nathanallur,Kanchipuram,Kanchipuram,12.8024,79.8444,1074,44,76,773,70,95,16,F
631606,94.44454,0,Palayaseevaram,Kanchipuram,Uttiramerur,12.7525,79.8573,811,159,158,12,197,250,35,M
604407,94.40183,0,Irungur,Vellore,Arcot,12.6943,79.4472,803,24,56,599,44,73,7,F
604505,94.38792,0,Vallam Arni,Vellore,Vandavasi,12.5794,79.4862,803,24,56,599,44,73,7,F
631001,94.37607,0,Ashoknagar (Vellore),Vellore,Arakonam,13.0633,79.645,803,24,56,599,44,73,7,F
631002,94.36382,0,Nagavedu,Vellore,Arakkonam,13.0416,79.6252,803,24,56,599,44,73,7,F
631003,94.33675,0,Ichiputhur,Vellore,Arakkonam,13.0585,79.6189,803,24,56,599,44,73,7,F
631004,94.24817,0,Seyyoor,Vellore,Arakkonam,13.0947,79.692,455,65,77,6,125,154,28,M
631005,94.22059,0,Winterpet,Vellore,Arakonam,13.0633,79.645,455,65,77,6,125,154,28,M
631006,94.21239,0,Ins Rajali,Vellore,Arakonam,13.0633,79.645,455,65,77,6,125,154,28,M
631051,94.19641,0,Attupakkam,Vellore,Arakkonam,12.8123,79.0104,455,65,77,6,125,154,28,M
631052,94.12943,0,Panapakkam,Vellore,Arakkonam,12.921,79.5663,803,24,56,599,44,73,7,F
631101,94.06826,0,Mittapettai,Vellore,Arakkonam,13.0939,79.5789,803,24,56,599,44,73,7,F
631102,94.03304,0,Kesavanankuppam,Vellore,Arakkonam,13.0434,79.3808,455,65,77,6,125,154,28,M
631151,93.95129,0,Uriyur,Vellore,Arakkonam,13.0466,79.7734,455,65,77,6,125,154,28,M
631152,93.89867,0,Suraksha Cisf Campus,Vellore,Arakkonam,13.0315,79.753,803,24,56,599,44,73,7,F
632001,93.89116,0,Sankaranpalayam,Vellore,Vellore,12.7779,79.1353,803,24,56,599,44,73,7,F
632002,93.80103,0,Virupakshipuram,Vellore,Vellore,12.8123,79.0104,455,65,77,6,125,154,28,M
632004,93.75073,0,Bakiyath,Vellore,Vellore,12.7779,79.1353,803,24,56,599,44,73,7,F
632006,93.70621,0,Gandhinagar East,Vellore,Vellore,12.7779,79.1353,803,24,56,599,44,73,7,F
632007,93.66408,0,Katpadi,Vellore,Vellore,12.9695,79.1455,455,65,77,6,125,154,28,M
632008,93.63454,0,Shenbakkam,Vellore,Vellore,12.7779,79.1353,455,65,77,6,125,154,28,M
632009,93.6286,0,Rangapuram,Vellore,Vellore,12.8485,78.8705,455,65,77,6,125,154,28,M
